%time Wind Power_wind
0.392 10.45141 7953.12476665
0.393 10.45141 7954.20538938
0.394 10.45141 7955.28485818
0.395 10.45141 7956.36244152
0.396 10.45141 7957.43742399
0.397 10.45141 7958.50910706
0.398 10.45141 7959.5768098
0.399 10.45141 7960.63986962
0.4 10.45141 7961.69764293
0.401 10.45141 7962.74950575
0.402 10.45141 7963.79485434
0.403 10.45141 7964.83310575
0.404 10.45141 7965.86369831
0.405 10.45141 7966.88609215
0.406 10.45141 7967.89976963
0.407 10.45141 7968.9042357
0.408 10.45141 7969.89901832
0.409 10.45141 7970.88366873
0.41 10.45141 7971.85776177
0.411 10.45141 7972.82089608
0.412 10.45141 7973.77269431
0.413 10.45141 7974.71280329
0.414 10.45141 7975.64089412
0.415 10.45141 7976.55666225
0.416 10.45141 7977.45982756
0.417 10.45141 7978.35013429
0.418 10.45141 7979.22735101
0.419 10.45141 7980.09127059
0.42 10.45141 7980.94171002
0.421 10.45141 7981.77851027
0.422 10.45141 7982.60153612
0.423 10.45141 7983.41067587
0.424 10.45141 7984.20584115
0.425 10.45141 7984.98696656
0.426 10.45141 7985.75400937
0.427 10.45141 7986.50694913
0.428 10.45141 7987.2457873
0.429 10.45141 7987.97054679
0.43 10.45141 7988.68127154
0.431 10.45141 7989.378026
0.432 10.45141 7990.06089464
0.433 10.45141 7990.72998141
0.434 10.45141 7991.38540917
0.435 10.45141 7992.02731911
0.436 10.45141 7992.65587015
0.437 10.45141 7993.27123832
0.438 10.45141 7993.87361607
0.439 10.45141 7994.46321168
0.44 10.45141 7995.0402485
0.441 10.45141 7995.60496434
0.442 10.45141 7996.15761066
0.443 10.45141 7996.69845196
0.444 10.45141 7997.22776497
0.445 10.45141 7997.74583793
0.446 10.45141 7998.25296985
0.447 10.45141 7998.74946976
0.448 10.45141 7999.23565592
0.449 10.45141 7999.7118551
0.45 10.45141 8000.17840177
0.451 10.45141 8000.63563735
0.452 10.45141 8001.08390943
0.453 10.45141 8001.52357103
0.454 10.45141 8001.95497981
0.455 10.45141 8002.3784973
0.456 10.45141 8002.79448817
0.457 10.45141 8003.20331946
0.458 10.45141 8003.60535985
0.459 10.45141 8004.00097891
0.46 10.45141 8004.39054637
0.461 10.45141 8004.77443142
0.462 10.45141 8005.153002
0.463 10.45141 8005.52662409
0.464 10.45141 8005.89566105
0.465 10.45141 8006.26047295
0.466 10.45141 8006.62141592
0.467 10.45141 8006.97884149
0.468 10.45141 8007.33309599
0.469 10.45141 8007.68451997
0.47 10.45141 8008.03344757
0.471 10.45141 8008.38020596
0.472 10.45141 8008.72511485
0.473 10.45141 8009.06848586
0.474 10.45141 8009.41062213
0.475 10.45141 8009.75181771
0.476 10.45141 8010.09235721
0.477 10.45141 8010.43251525
0.478 10.45141 8010.77255611
0.479 10.45141 8011.11273331
0.48 10.45141 8011.45328919
0.481 10.45141 8011.79445462
0.482 10.45141 8012.13644861
0.483 10.45141 8012.47947803
0.484 10.45141 8012.8237373
0.485 10.45141 8013.16940816
0.486 10.45141 8013.51665939
0.487 10.45141 8013.86564661
0.488 10.45141 8014.21651208
0.489 10.45141 8014.56938455
0.49 10.45141 8014.92437908
0.491 10.45141 8015.28159694
0.492 10.45141 8015.6411255
0.493 10.45141 8016.00303816
0.494 10.45141 8016.36739429
0.495 10.45141 8016.73423918
0.496 10.45141 8017.10360407
0.497 10.45141 8017.47550614
0.498 10.45141 8017.84994854
0.499 10.45141 8018.22692048
0.5 10.45141 8018.60639726
0.501 10.45141 8018.98834042
0.502 10.45141 8019.37269783
0.503 10.45141 8019.75940385
0.504 10.45141 8020.14837947
0.505 10.45141 8020.53953254
0.506 10.45141 8020.9327579
0.507 10.45141 8021.32793769
0.508 10.45141 8021.72494152
0.509 10.45141 8022.12362675
0.51 10.45141 8022.52383877
0.511 10.45141 8022.9254113
0.512 10.45141 8023.3281667
0.513 10.45141 8023.73191626
0.514 10.45141 8024.13646059
0.515 10.45141 8024.54158997
0.516 10.45141 8024.94708467
0.517 10.45141 8025.35271542
0.518 10.45141 8025.75824372
0.519 10.45141 8026.16342232
0.52 10.45141 8026.56799559
0.521 10.45141 8026.97170002
0.522 10.45141 8027.37426459
0.523 10.45141 8027.77541128
0.524 10.45141 8028.17485549
0.525 10.45141 8028.57230658
0.526 10.45141 8028.96746828
0.527 10.45141 8029.36003922
0.528 10.45141 8029.74971341
0.529 10.45141 8030.13618076
0.53 10.45141 8030.51912754
0.531 10.45141 8030.89823698
0.532 10.45141 8031.27318967
0.533 10.45141 8031.64366418
0.534 10.45141 8032.00933753
0.535 10.45141 8032.36988572
0.536 10.45141 8032.72498423
0.537 10.45141 8033.07430862
0.538 10.45141 8033.41753494
0.539 10.45141 8033.75434037
0.54 10.45141 8034.08440365
0.541 10.45141 8034.40740563
0.542 10.45141 8034.72302978
0.543 10.45141 8035.03096273
0.544 10.45141 8035.33089472
0.545 10.45141 8035.62252013
0.546 10.45141 8035.90553797
0.547 10.45141 8036.17965238
0.548 10.45141 8036.44457307
0.549 10.45141 8036.70001583
0.55 10.45141 8036.94570297
0.551 10.45141 8037.18136378
0.552 10.45141 8037.40673495
0.553 10.45141 8037.62156105
0.554 10.45141 8037.8255949
0.555 10.45141 8038.01859799
0.556 10.45141 8038.2003409
0.557 10.45141 8038.37060367
0.558 10.45141 8038.52917613
0.559 10.45141 8038.67585832
0.56 10.45141 8038.81046079
0.561 10.45141 8038.93280493
0.562 10.45141 8039.04272329
0.563 10.45141 8039.14005986
0.564 10.45141 8039.22467036
0.565 10.45141 8039.29642252
0.566 10.45141 8039.35519627
0.567 10.45141 8039.40088401
0.568 10.45141 8039.43339084
0.569 10.45141 8039.45263469
0.57 10.45141 8039.45854655
0.571 10.45141 8039.45107059
0.572 10.45141 8039.43016432
0.573 10.45141 8039.39579872
0.574 10.45141 8039.34795829
0.575 10.45141 8039.2866412
0.576 10.45141 8039.21185932
0.577 10.45141 8039.12363824
0.578 10.45141 8039.02201735
0.579 10.45141 8038.90704982
0.58 10.45141 8038.77880257
0.581 10.45141 8038.63735629
0.582 10.45141 8038.48280535
0.583 10.45141 8038.31525774
0.584 10.45141 8038.13483501
0.585 10.45141 8037.94167214
0.586 10.45141 8037.73591744
0.587 10.45141 8037.51773241
0.588 10.45141 8037.28729156
0.589 10.45141 8037.04478229
0.59 10.45141 8036.79040464
0.591 10.45141 8036.52437114
0.592 10.45141 8036.24690657
0.593 10.45141 8035.95824771
0.594 10.45141 8035.65864311
0.595 10.45141 8035.34835282
0.596 10.45141 8035.0276481
0.597 10.45141 8034.69681117
0.598 10.45141 8034.35613482
0.599 10.45141 8034.00592218
0.6 10.45141 8033.64648635
0.601 10.45141 8033.27815006
0.602 10.45141 8032.9012453
0.603 10.45141 8032.516113
0.604 10.45141 8032.12310261
0.605 10.45141 8031.72257177
0.606 10.45141 8031.31488585
