%time Wind Power_wind Frd
1413 10.153495787 8703.50437335 2.48432013806
1414 10.153495787 8702.84088006 2.47927412018
1415 10.153495787 8702.18242312 2.47426643874
1416 10.153495787 8701.52908763 2.46929774087
1417 10.153495787 8700.88095809 2.46436866921
1418 10.153495787 8700.23811838 2.45947986179
1419 10.153495787 8699.60065179 2.45463195198
1420 10.153495787 8698.96864097 2.44982556837
1421 10.153495787 8698.34216793 2.4450613347
1422 10.153495787 8697.72131404 2.44033986977
1423 10.153495787 8697.10616001 2.43566178738
1424 10.153495787 8696.49678588 2.4310276962
1425 10.153495787 8695.89327099 2.42643819971
1426 10.153495787 8695.29569402 2.42189389615
1427 10.153495787 8694.70413292 2.41739537837
1428 10.153495787 8694.11866494 2.41294323381
1429 10.153495787 8693.53936659 2.40853804439
1430 10.153495787 8692.96631367 2.40418038643
1431 10.153495787 8692.39958121 2.39987083058
1432 10.153495787 8691.83924349 2.39560994175
1433 10.153495787 8691.28537405 2.391398279
1434 10.153495787 8690.73804561 2.38723639551
1435 10.153495787 8690.19733015 2.38312483847
1436 10.153495787 8689.66329881 2.379064149
1437 10.153495787 8689.13602196 2.37505486213
1438 10.153495787 8688.61556914 2.37109750665
1439 10.153495787 8688.10200906 2.36719260509
1440 10.153495787 8687.59540962 2.36334067365
1441 10.153495787 8687.09583784 2.35954222208
1442 10.153495787 8686.60335993 2.35579775368
1443 10.153495787 8686.1180412 2.35210776518
1444 10.153495787 8685.63994612 2.34847274669
1445 10.153495787 8685.16913825 2.34489318163
1446 10.153495787 8684.70568031 2.34136954668
1447 10.153495787 8684.24963407 2.33790231168
1448 10.153495787 8683.80106044 2.33449193959
1449 10.153495787 8683.36001938 2.33113888645
1450 10.153495787 8682.92656995 2.32784360126
1451 10.153495787 8682.50077029 2.32460652598
1452 10.153495787 8682.08267758 2.32142809542
1453 10.153495787 8681.67234808 2.31830873721
1454 10.153495787 8681.26983706 2.31524887173
1455 10.153495787 8680.87519888 2.31224891208
1456 10.153495787 8680.4884869 2.30930926397
1457 10.153495787 8680.10975352 2.30643032572
1458 10.153495787 8679.73905013 2.30361248818
1459 10.153495787 8679.37642718 2.30085613467
1460 10.153495787 8679.02193409 2.29816164094
1461 10.153495787 8678.67561929 2.29552937515
1462 10.153495787 8678.33753019 2.29295969774
1463 10.153495787 8678.00771321 2.29045296146
1464 10.153495787 8677.68621373 2.2880095113
1465 10.153495787 8677.3730761 2.28562968441
1466 10.153495787 8677.06834366 2.28331381012
1467 10.153495787 8676.77205868 2.28106220982
1468 10.153495787 8676.48426242 2.27887519699
1469 10.153495787 8676.20499506 2.27675307709
1470 10.153495787 8675.93429575 2.27469614757
1471 10.153495787 8675.67220255 2.27270469783
1472 10.153495787 8675.41875249 2.27077900915
1473 10.153495787 8675.17398151 2.26891935465
1474 10.153495787 8674.93792447 2.26712599931
1475 10.153495787 8674.71061517 2.26539919987
1476 10.153495787 8674.49208631 2.26373920484
1477 10.153495787 8674.2823695 2.26214625444
1478 10.153495787 8674.08149528 2.26062058058
1479 10.153495787 8673.88949307 2.25916240685
1480 10.153495787 8673.7063912 2.25777194845
1481 10.153495787 8673.53221689 2.25644941218
1482 10.153495787 8673.36699626 2.25519499643
1483 10.153495787 8673.21075432 2.25400889115
1484 10.153495787 8673.06351497 2.25289127779
1485 10.153495787 8672.92530097 2.25184232933
1486 10.153495787 8672.796134 2.25086221021
1487 10.153495787 8672.67603458 2.24995107633
1488 10.153495787 8672.56502212 2.24910907507
1489 10.153495787 8672.4631149 2.24833634518
1490 10.153495787 8672.37033009 2.24763301685
1491 10.153495787 8672.28668369 2.24699921166
1492 10.153495787 8672.2121906 2.24643504254
1493 10.153495787 8672.14686457 2.2459406138
1494 10.153495787 8672.09071822 2.24551602111
1495 10.153495787 8672.04376301 2.24516135145
1496 10.153495787 8672.0060093 2.24487668314
1497 10.153495787 8671.97746626 2.24466208583
1498 10.153495787 8671.95814197 2.24451762048
1499 10.153495787 8671.94804332 2.24444333933
1500 10.203101308 8671.94717608 2.24443928594
1501 10.203101308 8671.95554658 2.24450550858
1502 10.203101308 8671.97316857 2.24464211183
1503 10.203101308 8672.00004518 2.24484911795
1504 10.203101308 8672.03617177 2.24512649169
1505 10.203101308 8672.0815516 2.24547425815
1506 10.203101308 8672.13618498 2.24589241867
1507 10.203101308 8672.20006698 2.24638093564
1508 10.203101308 8672.27319515 2.24693979023
1509 10.203101308 8672.35556594 2.24756895508
1510 10.203101308 8672.44717259 2.24826837828
1511 10.203101308 8672.54800843 2.24903800901
1512 10.203101308 8672.65806609 2.24987779074
1513 10.203101308 8672.77733605 2.25078765084
1514 10.203101308 8672.90580806 2.25176751092
1515 10.203101308 8673.04347104 2.2528172864
1516 10.203101308 8673.19031235 2.25393688088
1517 10.203101308 8673.34631831 2.25512618991
1518 10.203101308 8673.51147428 2.2563851019
1519 10.203101308 8673.68576436 2.25771349543
1520 10.203101308 8673.86917147 2.25911124045
1521 10.203101308 8674.06167755 2.26057819911
1522 10.203101308 8674.26326334 2.26211422458
1523 10.203101308 8674.47390842 2.26371916139
1524 10.203101308 8674.69359135 2.2653928459
1525 10.203101308 8674.92228951 2.26713510589
1526 10.203101308 8675.15997918 2.26894576058
1527 10.203101308 8675.40663556 2.27082462092
1528 10.203101308 8675.66223272 2.27277148946
1529 10.203101308 8675.92674365 2.2747861603
1530 10.203101308 8676.20014022 2.27686841927
1531 10.203101308 8676.48239323 2.2790180439
1532 10.203101308 8676.77347239 2.28123480344
1533 10.203101308 8677.07334632 2.28351845886
1534 10.203101308 8677.38198257 2.28586876299
1535 10.203101308 8677.6993476 2.28828546043
1536 10.203101308 8678.02540681 2.29076828767
1537 10.203101308 8678.36012453 2.29331697308
1538 10.203101308 8678.70346404 2.29593123696
1539 10.203101308 8679.05538755 2.2986107916
1540 10.203101308 8679.41585623 2.30135534129
1541 10.203101308 8679.78483019 2.30416458235
1542 10.203101308 8680.16226853 2.30703820322
1543 10.203101308 8680.54812928 2.30997588443
1544 10.203101308 8680.94236947 2.31297729873
1545 10.203101308 8681.34494508 2.31604211104
1546 10.203101308 8681.75581109 2.31916997857
1547 10.203101308 8682.17492146 2.32236055083
1548 10.203101308 8682.60222915 2.32561346967
1549 10.203101308 8683.03768612 2.32892836935
1550 10.203101308 8683.48124334 2.33230487656
1551 10.203101308 8683.93285078 2.3357426105
1552 10.203101308 8684.39245744 2.3392411829
1553 10.203101308 8684.86001134 2.3428001981
1554 10.203101308 8685.33545955 2.34641925307
1555 10.203101308 8685.81874815 2.35009793749
1556 10.203101308 8686.30982229 2.35383583378
1557 10.203101308 8686.80862618 2.35763251716
1558 10.203101308 8687.31510305 2.36148755572
1559 10.203101308 8687.82919526 2.36540051046
1560 10.203101308 8688.35084418 2.36937093534
1561 10.203101308 8688.87999032 2.37339837736
1562 10.203101308 8689.41657324 2.3774823766
1563 10.203101308 8689.96053161 2.38162246626
1564 10.203101308 8690.51180323 2.38581817277
1565 10.203101308 8691.07032497 2.39006901581
1566 10.203101308 8691.63603286 2.39437450838
1567 10.203101308 8692.20886204 2.39873415685
1568 10.203101308 8692.7887468 2.40314746107
1569 10.203101308 8693.37562055 2.40761391434
1570 10.203101308 8693.96941589 2.41213300359
1571 10.203101308 8694.57006456 2.41670420934
1572 10.203101308 8695.17749748 2.42132700583
1573 10.203101308 8695.79164474 2.42600086105
1574 10.203101308 8696.41243564 2.43072523683
1575 10.203101308 8697.03979864 2.43549958889
1576 10.203101308 8697.67366145 2.44032336692
1577 10.203101308 8698.31395097 2.44519601463
1578 10.203101308 8698.96059332 2.45011696983
1579 10.203101308 8699.61351387 2.4550856645
1580 10.203101308 8700.27263721 2.46010152487
1581 10.203101308 8700.93788721 2.46516397145
1582 10.203101308 8701.60918697 2.47027241915
1583 10.203101308 8702.28645889 2.47542627731
1584 10.203101308 8702.96962462 2.48062494982
1585 10.203101308 8703.65860512 2.48586783512
1586 10.203101308 8704.35332065 2.49115432635
1587 10.203101308 8705.05369075 2.49648381137
1588 10.203101308 8705.7596343 2.50185567287
1589 10.203101308 8706.47106952 2.50726928839
1590 10.203101308 8707.18791394 2.51272403048
1591 10.203101308 8707.91008444 2.51821926668
1592 10.203101308 8708.63749729 2.52375435966
1593 10.203101308 8709.37006808 2.52932866728
1594 10.203101308 8710.1077118 2.53494154267
1595 10.203101308 8710.85034284 2.54059233428
1596 10.203101308 8711.59787497 2.54628038598
1597 10.203101308 8712.35022136 2.55200503715
1598 10.203101308 8713.10729462 2.55776562274
1599 10.203101308 8713.86900678 2.56356147333
1600 10.203101308 8714.63526928 2.56939191526
1601 10.203101308 8715.40599306 2.57525627065
1602 10.203101308 8716.18108849 2.58115385754
1603 10.203101308 8716.96046539 2.5870839899
1604 10.203101308 8717.74403311 2.59304597778
1605 10.203101308 8718.53170045 2.59903912735
1606 10.203101308 8719.32337572 2.60506274098
1607 10.203101308 8720.11896675 2.61111611733
1608 10.203101308 8720.91838089 2.61719855145
1609 10.203101308 8721.72152503 2.62330933483
1610 10.203101308 8722.52830558 2.6294477555
1611 10.203101308 8723.33862854 2.63561309809
