%time Wind Power_wind
9683 11.9070250576 7723.55052097
9684 11.9070250576 7723.55017324
9685 11.9070250576 7723.54998764
9686 11.9070250576 7723.55014064
9687 11.9070250576 7723.55045134
9688 11.9070250576 7723.55059213
9689 11.9070250576 7723.55043268
9690 11.9070250576 7723.55015756
9691 11.9070250576 7723.55005505
9692 11.9070250576 7723.5502164
9693 11.9070250576 7723.55045781
9694 11.9070250576 7723.55052794
9695 11.9070250576 7723.55036836
9696 11.9070250576 7723.55015849
9697 11.9070250576 7723.55011539
9698 11.9070250576 7723.55027036
9699 11.9070250576 7723.55045104
9700 11.9070250576 7723.55047187
9701 11.9070250576 7723.55032367
9702 11.9070250576 7723.55016975
9703 11.9070250576 7723.55016696
9704 11.9070250576 7723.5503068
9705 11.9070250576 7723.55043645
9706 11.9070250576 7723.55042491
9707 11.9070250576 7723.5502945
9708 11.9070250576 7723.55018667
9709 11.9070250576 7723.55020933
9710 11.9070250576 7723.55032964
9711 11.9070250576 7723.55041802
9712 11.9070250576 7723.55038703
9713 11.9070250576 7723.55027713
9714 11.9070250576 7723.55020593
9715 11.9070250576 7723.55024289
9716 11.9070250576 7723.55034233
9717 11.9070250576 7723.5503985
9718 11.9070250576 7723.55035756
9719 11.9070250576 7723.5502684
9720 11.9070250576 7723.55022526
9721 11.9070250576 7723.55026852
9722 11.9070250576 7723.55034774
9723 11.9070250576 7723.55037971
9724 11.9070250576 7723.55033548
9725 11.9070250576 7723.55026572
9726 11.9070250576 7723.55024324
9727 11.9070250576 7723.55028735
9728 11.9070250576 7723.55034821
9729 11.9070250576 7723.55036272
9730 11.9070250576 7723.55031961
9731 11.9070250576 7723.55026701
9732 11.9070250576 7723.5502591
9733 11.9070250576 7723.55030056
9734 11.9070250576 7723.55034555
9735 11.9070250576 7723.55034809
9736 11.9070250576 7723.55030877
9737 11.9070250576 7723.5502707
9738 11.9070250576 7723.55027248
9739 11.9070250576 7723.5503093
9740 11.9070250576 7723.55034112
9741 11.9070250576 7723.55033597
9742 11.9070250576 7723.55030186
9743 11.9070250576 7723.55027563
9744 11.9070250576 7723.55028334
9745 11.9070250576 7723.55031462
9746 11.9070250576 7723.5503359
9747 11.9070250576 7723.55032631
9748 11.9070250576 7723.55029791
9749 11.9070250576 7723.55028098
9750 11.9070250576 7723.55029186
9751 11.9070250576 7723.55031741
9752 11.9070250576 7723.55033056
9753 11.9070250576 7723.55031888
9754 11.9070250576 7723.5502961
9755 11.9070250576 7723.5502862
9756 11.9070250576 7723.55029828
9757 11.9070250576 7723.55031841
9758 11.9070250576 7723.55032553
9759 11.9070250576 7723.55031338
9760 11.9070250576 7723.55029575
9761 11.9070250576 7723.55029098
9762 11.9070250576 7723.55030294
9763 11.9070250576 7723.55031823
